一律不考虑以下关键字院校和专业
　　襄樊 杉达 建桥 东华理工 农业 管理 陕西 兰州 文理 专修 

210所“虚假大学”完整名录

　　中国邮电大学 上海工商学院 

　　中国科技管理学院 长江科技学院 

　　中国民航学院 西安信息技术学院 

　　中国师范学院 西安工商管理学院 

　　中国信息科技学院 西安工业科技技术学院 

　　中国电子信息科技学院 西安工业科技学院 

　　中国电子科技学院 西安建设科技学院 

　　中国科技工程学院 陕西国防工业技术学院 

　　中国传媒艺术学院 南京科技管理学院 

　　中国金融管理学院 南京金陵科技管理学院 

　　中国国际经济管理学院 江苏信息工程学院 

　　中国工商行政管理学院 江苏都市建设学院 

　　中国经济贸易大学 江苏理工职业学院 

　　中国科贸管理学院 石家庄工程管理学院 

　　中国经济贸易学院 华北建筑工业学院 

　　中国北方理工学院 华北建筑工程学院 

　　中国工业工程学院 中原工业大学 

　　中国现代财经学院 河南科技师范学院 

　　中国国际工商管理学院 杭州建设管理大学 

　　华北科技大学 对外经济贸易管理学院 

　　华北理工学院 广东科技管理大学 

　　中联司法学院 广东经济管理学院 

　　北方国际经济学院 福建海峡经贸技术学院 

　　北方经济管理学院 福建经济贸易大学 

　　北方医科大学 常德经贸学院 

　　北京京华医科大学 湖南经济管理大学 

　　中北科技学院 山西信息工程学院 

　　华北应用科技学院 山西远东外国语学院 

　　华北师范学院 沈阳盛京大学 

　　中原金融学院 对外经贸管理学院 

　　华侨国际商务学院 武汉建筑职工大学 

　　首都科技信息管理学院 江西赣南学院 

　　首都科技管理学院 安徽城建大学 

　　首都财贸管理大学 四川华商学院 

　　北京财贸科技学院 兰州对外经济贸易学院 

　　首都经济管理学院 北京财经政法大学 

　　首都经济贸易管理学院 北京现代商务学院 

　　恒远教育 北京工程经济学院 

　　首都科技职业技术学院 北京实验大学 

　　首都科技学院 北京商贸职工大学 

　　首都医学院 北京工学院 

　　首都文理大学 辽宁轻工职工大学 

　　北京经济贸易大学 天津联合大学 

　　北京经济贸易学院 北京科技工程学院 

　　北京对外贸易学院 北京工程技术大学 

　　首都财经贸易大学 北京现代工程学院 

　　北京燕京华侨大学 北京经济信息学院 

　　北京经贸联合大学 北京京桥大学 

　　北京国际金融学院 北京电子科技管理学院 

　　北京国际经济管理学院 北京前进大学 

　　淄博理工学院 北京工商学院 

　　山东邮电大学 北京国际医学院 

　　山东经济贸易大学 北京财经贸易学院 

　　山东科技工程学院 北京财贸管理学院 

　　上海东方科技学院 北京财贸管理大学 

　　上海工程管理学院 北京建筑工业学院 

　　上海华夏学院 北京法商学院 

　　上海建筑工业学院 北京经济工程学院 

　　上海商贸管理大学 北京经济工程大学 

　　南京工商大学 北京城市建设学院 

　　华东农林科技大学 北京商贸管理学院 

　　安徽城市建设学院 北京贸易管理大学 

　　江西科技工程大学 北京商贸管理大学 

　　江西科技管理学院 京师科技学院 

　　江西经贸管理学院 北京科技学院 

　　华中工商学院 北京中山学院 

　　中原工商管理学院 北京京城学院 

　　湖南屈原大学 上海经济贸易大学 

　　株洲航空旅游学院 上海工业科技大学 

　　四川财经管理学院 上海工业科技学院 

　　四川中山学院 上海财经贸易学院 

　　广东电子信息技术学院 上海金融管理学院 

　　厦门师范学院 天津文理大学 

　　北京经济管理学院 西安电子信息学院 

　　中国信息科技大学 杭州工商管理大学 

　　中国信息工程学院 杭州理工大学 

　　首都财经管理学院 杭州理工学院 

　　北京财经管理大学 南京科技学院 

　　北京财经管理学院 南京商学院 

　　北京财商学院 山西理工学院 

　　神州大学 新民大学 

　　北京中加工商学院 武汉科技工程学院 

　　北京京文国际学院 武汉工商管理大学 

　　北京商贸大学 湖北工商管理学院 

　　北方交通工程学院 广州理工学院 

　　华北工业大学 河南华夏医学院 


　　北京英迪经贸学院 石家庄电子科技学院 

　　北京高级财务管理专修学院 青岛博洋商务学院 

　　青岛远洋大学 山东经济技术学院 

　　山东文理学院 山东沂蒙学院 

　　山东建设学院 北京财经大学 

　　青岛现代经贸学院 北京城建大学 

　　山东经济信息学院 中外经贸管理学院 

　　山东城市学院 西安理工学院 

　　华东财经学院 西安工商学院 

　　上海同济医科大学 西安科技师范大学 

　　上海华文外国语学院 华北经贸管理学院 

　　上海城市建设大学 山西经济技术学院 

　　河北东亚大学 山东东岳学院 

　　北京经贸科技学院 北京财经学院
